context,responses
<sp1> How do you get road news? <sp2> I've a driver mate in my car! <sp1> So you have all the news on broadcast?,"Yes, I have a great resource in my car driver who keeps me updated on all the latest road news and traffic conditions, making my commute smooth and efficient.<SEP>Yes, having a driver mate in the car provides me with real-time updates and valuable information on traffic, accidents, and road conditions.<SEP>Yes. The radio news stations are all there."
<sp1> Where do you want to go? <sp2> I'm going to the hospital. <sp1> Get in. I'll take you.,"About how much will it cost?<SEP>I'm really grateful . I feel much better knowing someone is accompanying me.<SEP>Great, I'll go with you. Thanks for offering to take me to the hospital."
"<sp1> Which condiment do you use for? <sp2> I'll use ginger, Garlic scallion, Hot pepper and vinegar. <sp1> Very good, Need I help you?","No, Not really. I'll do it myself.<SEP>No, Don't need, I can do myself.<SEP>I appreciate the offer, but I think I can manage it by myself. Thank you for your offer of help!<SEP>Yes, Yes, I'd like to add some pepper as well.<SEP>Yes, Of course. What is your speciality?"
"<sp1> Well, To be honest, There's another reason. I've got a better offer. <sp2> Well that's great news! Congratulations! Where will you be located? <sp1> The head office is in New York, But I'll be dealing with overseas companies and flying to this side of the world from time to time.","So, you'll mainly be traveling to Europe and Asia for business?<SEP>It'll be sad to see you go, But it sounds like you're found yourself a great opportunity.<SEP>That sounds great. Can you tell me more about your company?<SEP>That's fantastic news. It sounds like you'll be in London soon, Right?"
"<sp1> Let's take a look at the menu so we can order. Do you want to choose an appetizer for us to share? <sp2> What would you rather have, Samosas or poppadoms? <sp1> I heard that one of their specialities is the samosa.","Well, You can choose the samosas that are tastier. They are also made with rice flour, Which is the same kind of flour that you find in many Asian food.<SEP>""Sure, let's go for the samosas. I heard they're really delicious.""<SEP>Well, Let's get a plate of those then.<SEP>I'd like to try the poppadoms.<SEP>Ok. I'll take the samosa."
<sp1> I needed to get something really quick. <sp2> Where did you park at? <sp1> At my apartment building.,"Well, you better walk quickly because it is pouring .<SEP>What did you need to get really quick?<SEP>Don't you have your own parking spot?<SEP>You should've parked at the university, Too.<SEP>How long did it take?"
"<sp1> I like the sound of that. <sp2> Yes, That is today's sale price. <sp1> A dozen will be fine.",Do you think we can get you something else?<SEP>Is there anything else you'd like to get?<SEP>All right. It's ready to go. Would you like anything else?
"<sp1> I went to Salt Lake City on business. What's up? <sp2> I got fired. <sp1> How come? Last time I saw you. You told me it was a good job, And you'd like to take it as a career. That was only one month ago. Why this sudden change?","Because my boss told me it was no good and I didn't do well.<SEP>I thought I was doing a good job.<SEP>It's a long story. In a word, I didn't do a good job of it. I messed up a business deal, A deal that would have made ten million dollars and I messed it up.<SEP>I got fired because I didn't do my job well enough.<SEP>Well, I had to deal with my wife's problems. She's been really ill recently."
"<sp1> I did learn that. <sp2> So, Then why did you speed up? <sp1> I don't know what to tell you.","Well, Let's just say that it was the most fun I've had in a long time.<SEP>Well, You speed up when you're nervous or nervous about something.<SEP>I'm going to have to write you a ticket.<SEP>You shouldn't do that.<SEP>That's the point. You can't speed up, But you can slow down."
"<sp1> Don't worry, Young man. Lat me give you an examination. First let me take a look at your throat. Open your mouth and say'ah '. <sp2> Ah. <sp1> Your throat is inflamed. And your tongue is heavily coated. You have all the symptoms of influenza.","What am I supposed to do then?<SEP>Oh no , what should I do ?<SEP>Ah, I see. Thanks for letting me know, I'll make sure to rest and take care of myself.<SEP>Is this serious?"
"<sp1> The James's file, Christine? <sp2> I had it right here a minute ago, Mr. Emory. Umm. Just a minute... <sp1> Christine, I know you're new here and there's a lot to learn, But you are going to have to learn to keep your work in better order. We can't afford to lose an important document.","I apologize for the inconvenience, Mr. Emory. I'll make sure to keep better track of important documents from now on.<SEP>I apologize, Mr. Emory. I will make sure to keep a better track of the files from now on. I understand the importance of keeping everything organized and in its place.<SEP>Yes, I've located the file. James' file is in the filing cabinet labeled ""Important Files,"" and it's filed under ""J."" I apologize for the inconvenience, and I'll take better care of my work from now on."
"<sp1> San Francisco? No, Sir. We only have this office here. You will have to return it here. <sp2> Really? I heard in America you can return rental cars in different cities. <sp1> No, Sir. That's only with the very big companies. I'm sorry, But this car must be returned to this lot.","Oh , I see. I guess it's not possible then.<SEP>Well, I guess I will have to drive back down then. Hmm. I didn't think of that.<SEP>Well, Then. I'll call you back later. Thank you.<SEP>It's too bad that you can't do it."
<sp1> Thanks. Have you got the L / C number? <sp2> It's NX567822100007. <sp1> Hang on a tick and I'll check for you. I'm sorry ; we have no record of that arriving.,"Is it possible there's been a mistake ? I've just double-checked and it's right here in our system.<SEP>No problem. I'll just have to check the system log.<SEP>Ok, Thanks for checking. Could you give me a ring when it arrives, Please?<SEP>SPEAKER B: Can you double-check or provide additional information about the L/C number, as I believe there may be a typo or missing information?"
"<sp1> Excuse me, May I help you? <sp2> Would you please fill some gas for me? <sp1> Sure. Which kind of gas do you want?","I'm not sure, But I need a gasoline that's unleaded.<SEP>Just regular unleaded.<SEP>Unleaded, Please.<SEP>Um, I'm not sure. Could I have regular unleaded?"
"<sp1> Today I want to invite you to talk about insurance you're interested in. <sp2> Thank you. I wonder whether I can enjoy the life insurance and health insurance. <sp1> Of course. A two-week paid vacation a year, A five-day workweek.",What kind of compensation do you have?<SEP>Five days a week is really an excellent opportunity for me to spend time with my family and friends.<SEP>What about the health insurance?<SEP>Thank you for sharing the details . It sounds like a great opportunity to take advantage of these insurance benefits and relax more often.
"<sp1> Excuse me. Check please. <sp2> Ok, How was everything? <sp1> Very nice. Thank you.",You're welcome. Do you need a receipt ?<SEP>It was truly a pleasure serving you. Have a great day!<SEP>I am glad to hear that. Have a nice day.
<sp1> Why'd you pull me over? <sp2> Are you aware that you drove through a red light? <sp1> I ran a red light?,"Didn't you?<SEP>Yes, I'm sorry to say you were going too fast. I thought you were going to hit a parked car.<SEP>You're lucky you didn't get killed.<SEP>Yes, You did."
<sp1> Do you have the statement for your card? <sp2> Here it is. <sp1> What are the charges you're referring to?,The charges for the fee and service charge.<SEP>I am referring to charges for late payments and exceeding the credit limit.<SEP>The charges are for $ 235.<SEP>The charges you're referring to are the following:
"<sp1> Next, Please. Hello, May I help you, Sir? <sp2> Yes, I want to send a registered airmail letter to France. <sp1> Ok, It comes four dollars twenty cents.",Here you are.<SEP>Here is five dollars.
"<sp1> Kara, I had fun the other night at the movies and was wondering if you would like to go out again this Friday. <sp2> Mike, I don't think that it's a good idea to go out again. I really need to focus on getting packed and ready to move back home. <sp1> Maybe we could just meet for coffee or something.","Yeah, maybe we could . I could use a break to help with my stress level .<SEP>I think that would be great. We could just meet and talk.<SEP>I can't really deal with any distractions right now, But I appreciate the nice evening we spent together.<SEP>Sure, let's meet up for coffee on Friday afternoon. I'll bring my packing materials along so we can catch up and work on getting ready for my move at the same time."
<sp1> What problem are you having? <sp2> There have been charges made on my debit card that I didn't make. <sp1> Do you have the statement for your card?,"Yes, I have the statement.<SEP>I don't have it right now, But I will check.<SEP>Yes, Here you go.<SEP>Yes, I have the statement for my card. Would you like me to send it to you?<SEP>Yes, I have it."
<sp1> Here is your change. Please wait for your receipt of the registered mail. <sp2> I also want to pack up my package. This is the notes. <sp1> Let me see. En .. just a minute. Here it is. I need your signature on this note.,"Thank you very much.<SEP>Okay, sure. I'll sign it for you. Thank you.<SEP>Oh, Yes. Here it is. Thank you very much.<SEP>Oh, One more thing, Where can I mail this letter?<SEP>Yes, I will sign."
"<sp1> Room service, Is there anything I can do for you? <sp2> Yes, I am afraid there are not enough outlets. <sp1> Well, We have 6 for each room.","Yes, But 4 of them are broken. Can you send someone here?<SEP>Do you think it's possible to have more outlets?<SEP>Yes , please bring us another outlet .<SEP>Well, I'd like to have two outlets, One for each of my beds."
<sp1> Where was the break-in? <sp2> It happened at my house. <sp1> Was anything stolen?,"No, Nothing was stolen.<SEP>Yes, some valuable items were stolen.<SEP>No, But it happened on my birthday.<SEP>No, Nothing was taken.<SEP>I haven't checked yet."
"<sp1> I'm afraid we're going to have to investigate these charges. <sp2> How long will an investigation take? <sp1> I honestly don't know, But we will freeze payment on these charges.","Thank you for informing us. We appreciate your diligence in looking into these charges. We understand that it may take some time for the investigation to be completed, but please keep us updated with any new information as it becomes available. In the meantime, we would be grateful if you could freeze payment on these charges to ensure that there are no unwanted financial transactions during this process.<SEP>Could you please give me the time of your investigation in this case?<SEP>Can you please show us a court date for these charges?<SEP>What do you think we should do then?"
<sp1> Are you busy tomorrow morning? <sp2> I'm free. What's up? <sp1> Someone has to pick up the boss at the airport.,"No problem. I can pick him up. What time does his flight land?<SEP>Oh, I just remembered I've got a report to write.<SEP>Sure, I can do that. What time and which airport is the boss arriving at?<SEP>Is there something wrong?"
"<sp1> Well, There will be charity performance on Saturday night. And also, There will be a solo concert by an opera star on Sunday night. <sp2> It's a good thing that I have choices here. Can you tell me about the one on Saturday? <sp1> Sure. It's to raise money for the homeless.",Sounds great. Can I have my ticket?<SEP>What about the performance itself?<SEP>What can you tell me about the charity performance on Saturday night?<SEP>Wow! That's really great. What do they do?
"<sp1> Hi, Dan. What's new? <sp2> Where have you been? I've been trying to get in touch with you for two days. <sp1> I went to Salt Lake City on business. What's up?","I got fired.<SEP>I've been traveling for business.<SEP>Oh, I see. Good trip ? I assume everything is ok since you're back. I've just been busy with work lately, but I'm glad to hear from you. Nothing much has happened, just been working a lot. What about you ? Have you been up to anything interesting ?<SEP>""I've been working on a project at our corporate office. How was your trip?"""
"<sp1> Let me see. En .. just a minute. Here it is. I need your signature on this note. <sp2> Oh, One more thing, Where can I mail this letter? <sp1> Drop it in the mail box mark out of town. At that corner.","Ok. Thank you very much.<SEP>Sure, I can drop it in the mail box marked ""out of town"" at the corner.<SEP>Thank you so much.<SEP>All right. Here you are. Thank you."
<sp1> You're made a good choice. This china tea set is unusual. <sp2> Where was it from? <sp1> It was made in Jingdezhen.,"Jingdezhen? Isn't it called 'the capital of porcelain'?<SEP>How much is it?<SEP>I really like this tea set. Do you have the same one for men?<SEP>I've never heard of that place.<SEP>The price is quite high, Isn't it?"
"<sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future. <sp2> Have you ever designed any programs concerning network? <sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE.",What is it?<SEP>Can you tell me a little about the software development process?<SEP>Have you got anything to ask me?<SEP>I would like to ask if you could recommend a computer program to me to begin with.
"<sp1> It will cost you $ 10. <sp2> By the way, What's the time? <sp1> You can see the time on the meter. I have radio time, You know.",It doesn't say.<SEP>I don't know what time it is.<SEP>Really?
"<sp1> A dozen will be fine. <sp2> Is there anything else you'd like to get? <sp1> No, Thank you.","All right, Sir. We'll have them ready by 8: 30.<SEP>Have a nice weekend!<SEP>I'll get you your order in about an hour.<SEP>These roses should make your wife very happy."
"<sp1> Have you got any experience in advertising? <sp2> Yes, I have been working in the Public Relations Section of a company in the past two years. I plan the advertising campaign and cooperate the work of artists and typographers. Sometimes I have to do the work of a specialist when there's something urgent. <sp1> Do you have any practical experience as a secretary?","No, I haven't. I'm more experienced in advertising.<SEP>I have worked as a secretary for a couple of years. I am familiar with the basics of communicating to the public, Advertising and PR. I also have a lot of experience in working in an agency.<SEP>Yes , I have practical experience as a secretary . I can perform tasks such as scheduling meetings, drafting memos, and maintaining records. Additionally, I have experience handling multiple tasks and organizing work effectively.<SEP>Yes, I have been working in the hotel management department as a secretary for two years."
<sp1> I'll be willing to come and talk about the financing of our imports. <sp2> It can be solved by drawing a draft on us at 90 days sight. <sp1> What about a draft at 120 days sight?,"120 days sight is also a viable option, but we need to consider the interest rates and market trends to ensure the best financial arrangement.<SEP>I think 120 days is too long.<SEP>All right. But we demand the draft be accepted by a bank acceptable to us.<SEP>I can agree to a 120 days sight draft as a potential solution for financing our imports."
<sp1> Get in. I'll take you. <sp2> About how much will it cost? <sp1> It will cost you $ 10.,"What about gas?<SEP>By the way, What's the time?<SEP>Thank you.<SEP>That's not too much."
"<sp1> Room service. What can I do for you? <sp2> This is room 2012. Where is my laundry? You promised to send to me this morning. <sp1> Well, Let me check for you. I am sorry, Sir. They mistook your order as a normal one. Actualty it's an express laundry, Is that right?","Yes, That's right.<SEP>Yes, It is.<SEP>Yes, I ordered the express service."
"<sp1> Besides steamed fish, What else are you good at cooking? <sp2> I am good at stewing beef with potato, Frying chicken, Hot and sour soup etc. <sp1> So many dishes. Next Friday week is my birthday. I would like to invite you to cook for my dinner party, Ok?","Sure, What time will that be?<SEP>That sounds great! Thank you for the invitation. I would be more than happy to cook for your dinner party on your birthday. Can you provide more details, such as the number of guests, dietary restrictions, and any specific preferences they have? This will help me prepare a well-balanced menu that everyone can enjoy.<SEP>I am sure I would love it. Thank you for inviting me.<SEP>Yes, that would be great. I will help you prepare a wonderful dinner for your birthday party. Can you send me the recipes of the dishes you would like me to cook in advance? I can also bring some appetisers and desserts. We can discuss the details later. Looking forward to the occasion!<SEP>Why not? It is a good opportunity for me to practise cooking."
"<sp1> Could I have some fish? <sp2> Certainly. And what vegetables would you like? <sp1> Oh, Spinach, I think.","How much would you like?<SEP>Of course! I'll serve you spinach with your fish.<SEP>Great. Would you like anything else?<SEP>I think you'd like black olives.<SEP>Sure, I'll go ahead and prepare the spinach and jasmine rice with your fish. It's going to be delicious.<SEP>Of course, spinach goes perfectly with fish. I can definitely cook that for you."
"<sp1> Could I have my bill, Please? <sp2> Certainly, Sir. <sp1> I'm afraid there's been a mistake.","I'm sorry, Sir. What seems to be the trouble?<SEP>Oh, I'm sorry about that. I'll adjust the bill for you.<SEP>I apologize for the inconvenience, sir. Let me double-check the bill and have it corrected for you immediately."
<sp1> Why do you think there was a break-in? <sp2> My front window was broken. <sp1> We'll send a squad car shortly.,Should I go somewhere else for tonight?<SEP>Thank you for your quick response. I believe a squad car could be helpful to determine the cause of the break-in and prevent further incidents.<SEP>Please do.<SEP>I appreciate your help.
"<sp1> That's my favourite. Do you want to have some wine or beer? <sp2> I think I'll have a beer. <sp1> Ok, Shall I flag down the waitress?","Sure. That's the way to go.<SEP>I wouldn't recommend it. I think we should wait until she comes round.<SEP>Yes, please do.<SEP>I'd be glad to if you could.<SEP>Sure, thanks."
"<sp1> My major was computer science when I was at college, And I am quite familiar with Visual C + + and Java language. <sp2> Well, What do you think about the development in computers? <sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future.",Do you know of any other areas where the software development has been slow or unorganized?<SEP>Do you think the software industry will continue to grow in the future?<SEP>What do you think about the future of the software industry?<SEP>Have you ever designed any programs concerning network?<SEP>So we should expect a large shift in the development of the computing market?
"<sp1> Can you help me now? <sp2> No, But I'll be able to tomorrow. <sp1> That'll be too late.","I'll try my best to help you now, even though it might take me some time. It would be better than waiting until tomorrow, though I'll still be able to help you then if it becomes necessary.<SEP>Why don't you ask Bill if he can help?<SEP>I'm sorry, But I can't.<SEP>I understand your concern, but I'll make sure to help you as soon as I can."
"<sp1> Yeah, That's very important. <sp2> So you'd better explore the place the day before and at the same time, Look around to see what the employees are wearing. So the next day you will arrive early for the appointment. <sp1> I'll try my best to make a good impression on the interviewer.","I want you to be prepared with a good attitude.<SEP>That's right. You need to create a good image in a limited time, Usually about 30 to 45 minutes.<SEP>Yes, that's a really crucial aspect.<SEP>Make sure to have a good attitude and don't show any weakness or impolite behavior."
"<sp1> But there are only two more days until the bidding closes! <sp2> I bid on a Chanel watch at the last minute, And got it sixty percent off! <sp1> Oh... I'm such a newbie. But at least I'm sure I'll get that tennis racket.","Don't count on it, Babe. Ebay is always full of surprises.<SEP>The auction house is really fast. I'll let you in on a secret... I'm going to the West Village to see the new Fine Art Store.<SEP>How about a Chanel bracelet?<SEP>That racket is the best racket in the game. You'll have to take it."
"<sp1> Good morning. What's the matter with you? <sp2> Good morning, Doctor. I have a terrible headache. <sp1> All right, Young man. Tell me how it got started.","Yes , it feels like a sharp pain and it's really intense. It's like somebody is hammering inside my head.<SEP>It's a little complicated. First, It started out as a fever, And now it's a headache.<SEP>Yesterday I had a runny nose. Now my nose is stuffed up. I have a sore throat. And I'm afraid I've got a temperature. I feel terrible.<SEP>""Oh, it started yesterday evening when I was studying for exams late into the night. I guess I must have been working too hard."""
"<sp1> Would you like to reserve a private dining room? <sp2> That sounds like a good idea. <sp1> All right. May I have your name, Sir?","My name is Michael Smith.<SEP>My name is Ron Kollwitz.<SEP>Mr. Smith.<SEP>Of course, my name is John Smith. Would you like me to provide additional information for the reservation?"
"<sp1> Ok, Here you are. <sp2> Thanks. I'll be right back. <sp1> Ok.",I hope you enjoy your stay.<SEP>See you.<SEP>Here's your receipt.<SEP>Bye.
"<sp1> Everything is fine, And how are you? <sp2> Things are going well with me. <sp1> Kara, I had fun the other night at the movies and was wondering if you would like to go out again this Friday.","Sounds good to me. Let's plan to go out this Friday night. I'm looking forward to it.<SEP>I'd love to.<SEP>Sure, I would love to go out with you again this Friday.<SEP>I'd love to, But I don't have the money.<SEP>Mike, I don't think that it's a good idea to go out again. I really need to focus on getting packed and ready to move back home."
"<sp1> May I help you? <sp2> Yes. I have to stay in your cry for just one day, Can you suggest a short tour? <sp1> Are you interested in the natural landscape or the human landscape?","I like both. The landscape and the human area.<SEP>I am interested in the natural landscape.<SEP>I have no idea what a natural landscape is, So I'm not sure if I want to go there or not."
"<sp1> Damn it! I'm injured here. We could wait all day for the police. <sp2> Well, You'll just have to wait. I'm not going to move my car until the police arrive. I'll go into one of those houses over there and use their phone. Don't worry. You'll get to the hospital in time. <sp1> It really hurts.","Don't worry. We can take you to the hospital in time. I'll get you to the hospital in time.<SEP>Relax, take deep breaths, and focus on a distracting thought, like a movie you watched recently. I'll be right back after calling the police. We will get you to the hospital soon.<SEP>I'm so sorry.<SEP>Don't worry, I'm going to call the police and make sure they send an ambulance to get you to the hospital as soon as possible. In the meantime, try to stay calm and make yourself as comfortable as you can.<SEP>Okay, I will go and call an ambulance for you then."
"<sp1> Would you like to have some more beer? <sp2> No, Thanks. I'Ve had enough. I'll have my bill, Please. <sp1> Of course. Please wait a moment. I'll go and get it.","Thank you very much.<SEP>Alright . Thank you for the offer though .<SEP>Ok. Thank you.<SEP>Thank you.<SEP>No problem, Thank you."
<sp1> How large a group are you expecting? <sp2> Six couples. <sp1> Would you like to reserve a private dining room?,"Thank you for offering, but we would be just fine dining in a regular seating area together as a group of six couples.<SEP>We'd like to reserve a private dining room.<SEP>Yes, We can reserve a private dining room for you.<SEP>Yes, I would like to reserve a private dining room.<SEP>That sounds like a good idea."
"<sp1> Would you tell me the essential qualities a secretary should maintain? <sp2> Well, To begin with, I would say she needs to be diligent, And the second point is that she has to do a lot of things on her own initiative. Finally, She can make notes in shorthand and types and has the skills in report writing, Summary writing, Keep minutes at meetings, And so on. Most important of all is that she seems to have a better memory than average. <sp1> Have you had any experience with computer?","I have some. When I was in college, I used to work as a clerk in a computer shop. After graduation, I got a job as a trainee at a software company.<SEP>Yes, I've worked in a computer lab for a long time and I've learned a lot of things about it. I used to work in a computer lab for 3 years at a time and I've also been able to improve my computer skills in that time too.<SEP>Certainly, I have experience using computers for various tasks such as document preparation, data entry, and maintaining records. In addition, my understanding of computer programs like Microsoft Word, Excel, and PowerPoint helps me to perform these tasks efficiently and effectively. Furthermore, I am proficient in using email and scheduling applications, which are essential for managing communication and appointments. If given the opportunity, I would be more than happy to utilize my skills and knowledge in the field of computer software and applications.<SEP>I have two years of experience.<SEP>Not really, But I have been in several large corporations and I am familiar with Windows operating systems and Word and Excel '."
"<sp1> The boss announces the pay raise today, Right? How much do you think we'll get? <sp2> No idea. Your guess is as good as mine. <sp1> It better be more than last year.","Hey, let's just hope for the best. I'm sure the boss has our hard work in mind when considering the pay raise. Fingers crossed!<SEP>I hope so too. The cost of living has only gone up, so a fair increase would be greatly appreciated.<SEP>Well, Anything is better than nothing. Wait and see."
